"PCT 2342",47,105
"PCT 2343",68,148
"PCT 2343",61,109
"PCT 2344",26,66
"PCT 2344",55,79
"PCT 2345",40,77
"PCT 2345",43,90
"PCT 2346",29,77
"PCT 2346",46,80
"PCT 2347",18,61
"PCT 2347",39,74
"PCT 2348",19,43
"PCT 2348",54,110
"PCT 2349",32,67
"PCT 2349",50,92
"PCT 2351",25,85
"PCT 2351",50,117
"PCT 2352",36,49
"PCT 2352",48,96
"PCT 2353",43,61
"PCT 2353",70,205
"PCT 2354",58,100
"PCT 2354",69,123
"PCT 2355",34,71
"PCT 2355",50,125
"PCT 2356",22,55
"PCT 2356",37,80
"PCT 2357",33,76
"PCT 2357",46,99
"PCT 2358",28,91
"PCT 2358",87,147
"PCT 2361",37,90
"PCT 2361",111,132
"PCT 2416",26,48
"PCT 2416",58,106
"PCT 2417",13,46
"PCT 2417",82,84
"PCT 2418",20,38
"PCT 2418",47,80
"PCT 2419",23,64
"PCT 2419",55,86
"PCT 2501",34,77
"PCT 2501",46,90
"PCT 2502",18,60
"PCT 2502",55,84
"PCT 2503",30,69
"PCT 2503",56,119
"PCT 2504",43,95
"PCT 2504",103,171
"PCT 2505",31,53
"PCT 2505",51,104
"PCT 2507",33,66
"PCT 2507",62,116
"PCT 2508",35,42
"PCT 2508",38,95
"PCT 2517",45,94
"PCT 2517",53,131
"PCT 2518",35,83
"PCT 2518",83,111
"PCT 2519",65,102
"PCT 2519",97,137
"PCT 2522",39,63
"PCT 2522",70,105
"PCT 2523",27,66
"PCT 2523",53,93
"PCT 2524",49,86
"PCT 2524",99,169
"PCT 2526",56,98
"PCT 2526",100,136
"PCT 2528",53,98
"PCT 2528",119,128
"PCT 2529",15,18
"PCT 2529",36,55
"PCT 2530",51,60
"PCT 2530",75,109
"PCT 2531",53,69
"PCT 2531",81,140
"PCT 2532",33,66
"PCT 2532",59,79
"PCT 2533",72,107
"PCT 2533",96,148
"PCT 2534",26,49
"PCT 2534",57,97
"PCT 2536",46,48
"PCT 2536",63,94
"PCT 2537",33,91
"PCT 2537",65,120
"PCT 2538",60,95
"PCT 2538",123,143
"PCT 2540",5,10
"PCT 2540",0,0
"PCT 2542",31,71
"PCT 2542",52,89
"PCT 2543",33,60
"PCT 2543",73,118
"PCT 2544",36,47
"PCT 2544",49,79
"PCT 2545",25,47
"PCT 2545",59,89
"PCT 2547",45,114
"PCT 2547",76,125
"PCT 2548",35,56
"PCT 2548",65,89
"PCT 2549",28,65
"PCT 2549",84,92
"PCT 2551",42,57
"PCT 2551",92,136
"PCT 2552",34,71
"PCT 2552",70,101
"PCT 2554",34,74
"PCT 2554",90,168
"PCT 2610",23,50
"PCT 2610",60,82
"PCT 2611",14,49
"PCT 2611",48,73
"PCT 2613",20,17
"PCT 2613",0,0
"PCT 2801",11,23
"PCT 2801",66,54
"PCT 2802",24,57
"PCT 2802",31,71
"PCT 2804",54,124
"PCT 2804",78,162
"PCT 2805",66,100
"PCT 2805",72,135
"PCT 2808",25,36
"PCT 2808",48,67
"PCT 2809",14,28
"PCT 2809",57,74
"PCT 2811",22,18
"PCT 2811",0,0
"PCT 2812",29,47
"PCT 2812",76,116
"PCT 2813",20,39
"PCT 2813",85,79
"PCT 2814",26,52
"PCT 2814",89,98
"PCT 2815",39,33
"PCT 2815",65,78
"PCT 2816",14,32
"PCT 2816",21,34
"PCT 2900",15,24
"PCT 2900",52,63
"PCT 2901",17,64
"PCT 2901",54,99
"PCT 2902",10,50
"PCT 2902",35,101
"PCT 2903",14,51
"PCT 2903",49,99
"PCT 2904",39,104
"PCT 2904",75,128
"PCT 2906",19,75
"PCT 2906",35,87
"PCT 2907",9,53
"PCT 2907",27,92
"PCT 2908",19,54
"PCT 2908",46,124
"PCT 2909",29,95
"PCT 2909",54,127
"PCT 2911",14,41
"PCT 2911",43,96
"PCT 2912",6,44
"PCT 2912",14,41
"PCT 2913",25,71
"PCT 2913",40,90
"PCT 2914",18,61
"PCT 2914",55,64
"PCT 2915",18,64
"PCT 2915",38,75
"PCT 2916",18,44
"PCT 2916",35,94
"PCT 2917",19,47
"PCT 2917",39,82
"PCT 2918",16,55
"PCT 2918",34,70
"PCT 2919",19,39
"PCT 2919",35,75
"PCT 3100",11,10
"PCT 3100",66,78
"PCT 3101",18,24
"PCT 3101",58,84
"PCT 3103",31,53
"PCT 3103",59,89
"PCT 3104",35,48
"PCT 3104",54,111
"PCT 3105",28,46
"PCT 3105",76,107
"PCT 3106",23,58
"PCT 3106",47,104
"PCT 3107",18,43
"PCT 3107",47,66
"PCT 3108",17,38
"PCT 3108",36,82
"PCT 3109",47,101
"PCT 3109",70,150
"PCT 3112",18,36
"PCT 3112",40,69
"PCT 3113",32,49
"PCT 3113",55,97
"PCT 3114",19,42
"PCT 3114",59,105
"PCT 3116",13,26
"PCT 3116",46,66
"PCT 3117",15,30
"PCT 3117",53,84
"PCT 3118",36,52
"PCT 3118",68,112
"PCT 3121",35,61
"PCT 3121",64,105
"PCT 3122",34,72
"PCT 3122",77,150
"PCT 3124",18,41
"PCT 3124",75,124
"PCT 3126",16,61
"PCT 3126",67,102
"PCT 3127",14,42
"PCT 3127",64,101
"PCT 3128",13,33
"PCT 3128",61,100
"PCT 3129",19,41
"PCT 3129",56,73
"PCT 3133",33,41
"PCT 3133",71,135
"PCT 3134",23,48
"PCT 3134",40,61
"PCT 3135",17,31
"PCT 3135",50,65
"PCT 3136",21,45
"PCT 3136",48,67
"PCT 3137",27,29
"PCT 3137",68,113
"PCT 3138",30,60
"PCT 3138",56,74
"PCT 3142",4,2
"PCT 3142",0,0
"PCT 3143",36,57
"PCT 3143",56,117
"PCT 3144",15,29
"PCT 3144",67,102
"PCT 3145",18,38
"PCT 3145",40,84
"PCT 3146",13,25
"PCT 3146",46,59
"PCT 3147",18,36
"PCT 3147",89,112
"PCT 3148",22,32
"PCT 3148",46,80
"PCT 3149",22,25
"PCT 3149",60,84
"PCT 3151",34,53
"PCT 3151",63,88
"PCT 3152",13,25
"PCT 3152",56,80
"PCT 3153",64,54
"PCT 3153",61,80
"PCT 3154",20,71
"PCT 3154",43,113
"PCT 3155",35,47
"PCT 3155",72,115
"PCT 3156",25,36
"PCT 3156",50,79
"PCT 3157",21,42
"PCT 3157",34,57
"PCT 3158",23,29
"PCT 3158",39,75
"PCT 3166",63,97
"PCT 3166",81,111
"PCT 3167",22,61
"PCT 3167",61,98
"PCT 3168",19,55
"PCT 3168",70,119
"PCT 3172",24,47
"PCT 3172",73,101
"PCT 3173",40,77
"PCT 3173",56,115
"PCT 3175",35,45
"PCT 3175",40,60
"PCT 3176",24,43
"PCT 3176",64,99
"PCT 3199",0,5
"PCT 3199",0,0
"PCT 3202",23,41
"PCT 3202",57,51
"PCT 3203",30,46
"PCT 3203",59,101
"PCT 3204",62,69
"PCT 3204",69,109
"PCT 3205",23,54
"PCT 3205",72,123
"PCT 3206",15,31
"PCT 3206",62,89
"PCT 3207",13,48
"PCT 3207",56,71
"PCT 3208",51,63
"PCT 3208",66,100
"PCT 3209",34,74
"PCT 3209",84,143
"PCT 3211",32,58
"PCT 3211",63,116
"PCT 3213",24,73
"PCT 3213",80,137
"PCT 3218",41,60
"PCT 3218",46,50
"PCT 3219",18,71
"PCT 3219",62,102
"PCT 3221",18,50
"PCT 3221",37,90
"PCT 3222",13,49
"PCT 3222",42,88
"PCT 3223",15,42
"PCT 3223",57,73
"PCT 3224",18,69
"PCT 3224",51,128
"PCT 3225",19,81
"PCT 3225",52,98
"PCT 3226",4,63
"PCT 3226",39,114
"PCT 3229",18,79
"PCT 3229",77,130
"PCT 3231",14,103
"PCT 3231",29,138
"PCT 3232",15,106
"PCT 3232",14,100
"PCT 3233",18,43
"PCT 3233",53,69
"PCT 3234",24,34
"PCT 3234",67,100
"PCT 3235",17,68
"PCT 3235",29,116
"PCT 3236",11,71
"PCT 3236",18,56
"PCT 3237",31,99
"PCT 3237",41,135
"PCT 3276",16,46
"PCT 3276",53,82
"PCT 3277",3,7
"PCT 3277",0,0
"PCT 3279",39,49
"PCT 3279",0,0
